Klasse,Nachname,Vorname,Projekt zugeteilt,Projekt1,Projekt2,Projekt3,Projekt4
05a,Name020,Vorname020,2,2,6,23,40
05a,Name021,Vorname021,2,18,2,36,40
05a,Name022,Vorname022,2,6,2,36,41
05a,Name076,Vorname076,6,6,22,11,41
05a,Name077,Vorname077,6,6,22,41,2
05a,Name078,Vorname078,6,6,22,11,41
05a,Name079,Vorname079,6,6,22,41,2
05a,Name080,Vorname080,6,6,22,41,2
05a,Name128,Vorname128,9,36,40,23,9
05a,Name129,Vorname129,9,36,40,23,9
05a,Name130,Vorname130,9,36,40,23,9
05a,Name166,Vorname166,11,6,11,2,22
05a,Name167,Vorname167,11,11,2,6,41
05a,Name168,Vorname168,11,2,22,6,11
05a,Name169,Vorname169,11,36,11,22,41
05a,Name289,Vorname289,22,6,22,41,2
05a,Name290,Vorname290,22,22,2,6,41
05a,Name291,Vorname291,22,6,22,41,2
05a,Name292,Vorname292,22,22,2,6,41
05a,Name293,Vorname293,22,22,11,41,6
05a,Name423,Vorname423,32,32,40,41,9
05a,Name424,Vorname424,32,36,40,32,41
05a,Name425,Vorname425,32,36,40,32,41
05a,Name426,Vorname426,32,2,f,40,32
05a,Name469,Vorname469,36,36,11,22,41
05a,Name518,Vorname518,40,40,36,41,23
05a,Name519,Vorname519,40,40,36,41,23
05a,Name520,Vorname520,40,40,36,41,23
05a,Name521,Vorname521,40,40,9,33,f
05b,Name023,Vorname023,2,2,23,41,36
05b,Name024,Vorname024,2,2,23,41,36
05b,Name025,Vorname025,2,23,2,22,41
05b,Name041,Vorname041,4,36,40,32,4
05b,Name042,Vorname042,4,36,40,4,41
05b,Name043,Vorname043,4,36,40,4,41
05b,Name081,Vorname081,6,23,6,40,2
05b,Name131,Vorname131,9,18,9,25,f
05b,Name170,Vorname170,11,6,11,41,2
05b,Name211,Vorname211,14,n,n,n,n
05b,Name294,Vorname294,22,41,40,22,23
05b,Name315,Vorname315,23,f,41,23,40
05b,Name427,Vorname427,32,40,32,23,36
05b,Name428,Vorname428,32,41,40,32,22
05b,Name429,Vorname429,32,41,40,32,22
05b,Name430,Vorname430,32,36,40,32,4
05b,Name431,Vorname431,32,41,40,32,22
05b,Name432,Vorname432,32,41,40,32,22
05b,Name433,Vorname433,32,36,40,32,4
05b,Name434,Vorname434,32,36,32,40,4
