Klasse, Name, Vorname, Projekt Nr., Wunsch
05a,Name020,Vorname020,null,null
05a,Name021,Vorname021,null,null
05a,Name022,Vorname022,2,2
05a,Name076,Vorname076,11,3
05a,Name077,Vorname077,22,2
05a,Name078,Vorname078,11,3
05a,Name079,Vorname079,6,1
05a,Name080,Vorname080,6,1
05a,Name128,Vorname128,36,1
05a,Name129,Vorname129,9,4
05a,Name130,Vorname130,9,4
05a,Name166,Vorname166,11,2
05a,Name167,Vorname167,11,1
05a,Name168,Vorname168,2,1
05a,Name169,Vorname169,11,2
05a,Name289,Vorname289,6,1
05a,Name290,Vorname290,22,1
05a,Name291,Vorname291,6,1
05a,Name292,Vorname292,2,2
05a,Name293,Vorname293,11,2
05a,Name423,Vorname423,9,4
05a,Name424,Vorname424,32,3
05a,Name425,Vorname425,32,3
05a,Name469,Vorname469,11,2
05a,Name518,Vorname518,null,null
05a,Name519,Vorname519,null,null
05a,Name520,Vorname520,null,null
05b,Name023,Vorname023,null,null
05b,Name024,Vorname024,null,null
05b,Name025,Vorname025,2,2
05b,Name041,Vorname041,4,4
05b,Name042,Vorname042,4,3
05b,Name043,Vorname043,4,3
05b,Name081,Vorname081,6,2
05b,Name170,Vorname170,11,2
05b,Name294,Vorname294,22,3
05b,Name427,Vorname427,32,2
05b,Name428,Vorname428,41,1
05b,Name429,Vorname429,32,3
05b,Name430,Vorname430,32,3
05b,Name431,Vorname431,32,3
05b,Name432,Vorname432,32,3
05b,Name433,Vorname433,32,3
05b,Name434,Vorname434,32,2
05b,Name470,Vorname470,32,3
05b,Name471,Vorname471,null,null
05b,Name472,Vorname472,null,null
05b,Name473,Vorname473,null,null
05b,Name474,Vorname474,null,null
05b,Name475,Vorname475,null,null
05b,Name476,Vorname476,null,null
05c,Name026,Vorname026,2,2
05c,Name027,Vorname027,3,4
05c,Name029,Vorname029,2,1
05c,Name031,Vorname031,2,3
05c,Name044,Vorname044,4,3
05c,Name082,Vorname082,22,2
05c,Name083,Vorname083,6,1
05c,Name132,Vorname132,9,2
05c,Name133,Vorname133,25,2
05c,Name134,Vorname134,9,2
05c,Name135,Vorname135,9,2
05c,Name172,Vorname172,25,3
05c,Name338,Vorname338,25,3
05c,Name435,Vorname435,32,2
05c,Name436,Vorname436,32,2
05c,Name437,Vorname437,32,2
05c,Name438,Vorname438,4,3
06a,Name033,Vorname033,2,1
06a,Name034,Vorname034,23,1
06a,Name045,Vorname045,4,3
06a,Name046,Vorname046,4,3
06a,Name047,Vorname047,4,1
06a,Name048,Vorname048,4,1
06a,Name087,Vorname087,11,4
06a,Name088,Vorname088,6,3
06a,Name089,Vorname089,6,3
06a,Name090,Vorname090,6,1
06a,Name136,Vorname136,3,4
06a,Name174,Vorname174,11,4
06a,Name295,Vorname295,22,1
06a,Name296,Vorname296,22,1
06a,Name297,Vorname297,11,4
06a,Name298,Vorname298,22,2
06a,Name346,Vorname346,null,null
06a,Name347,Vorname347,null,null
06a,Name477,Vorname477,36,1
06a,Name500,Vorname500,38,1
06a,Name501,Vorname501,38,1
06a,Name502,Vorname502,38,1
06a,Name522,Vorname522,6,3
06a,Name523,Vorname523,36,2
06a,Name527,Vorname527,18,4
06a,Name528,Vorname528,6,2
06b,Name035,Vorname035,2,2
06b,Name049,Vorname049,2,1
06b,Name050,Vorname050,4,3
06b,Name137,Vorname137,9,2
06b,Name189,Vorname189,12,3
06b,Name299,Vorname299,25,3
06b,Name300,Vorname300,22,3
06b,Name301,Vorname301,25,3
06b,Name318,Vorname318,38,3
06b,Name319,Vorname319,36,3
06b,Name320,Vorname320,null,null
06b,Name321,Vorname321,36,2
06b,Name322,Vorname322,36,2
06b,Name323,Vorname323,36,2
06b,Name449,Vorname449,33,4
06b,Name478,Vorname478,38,3
06b,Name480,Vorname480,36,1
06b,Name481,Vorname481,38,3
06b,Name482,Vorname482,32,2
06b,Name483,Vorname483,22,3
06b,Name484,Vorname484,32,2
06b,Name485,Vorname485,36,2
06b,Name503,Vorname503,null,null
06c,Name036,Vorname036,2,4
06c,Name037,Vorname037,36,3
06c,Name051,Vorname051,12,4
06c,Name092,Vorname092,6,2
06c,Name175,Vorname175,18,3
06c,Name176,Vorname176,11,1
